decision	eiti_name	hq_country	subsidiaries	method	lei	gleif_legal_name	gleif_country	flag	note
accept	St Barbara Limited	AUS	0	gleif_name_exact	2549001WR6XSXNOD1F93	St Barbara Limited	AU		
accept	Staatsolie maatschappij Suriname N.V	SUR	7	gleif_name_exact	254900R015RJG4RZ5G47	Staatsolie Maatschappij Suriname N.V.	SR		
reject	Teck	DEU	0	gleif_name_exact	529900LFQNGMLFK6VW11	TECK GmbH	DE		
accept	Teck Resources	CAN	3	gleif_name_exact	T8KI5SQ2JRWHL7XY0E11	Teck Resources Limited	CA		
accept	TotalEnergies SE	FRA	111	gleif_name_exact	529900S21EQ1BO4ESM68	TotalEnergies SE	FR		
accept	Trafigura Group	SGP	12	gleif_name_exact	549300HJ8VS88NIO3006	TRAFIGURA GROUP PTE. LTD.	SG		
accept	TULLOW OIL	GBR	33	gleif_name_exact	2138003EYHWO75RKS857	TULLOW OIL PLC	GB		
reject	Africa Oil Corp	GBR	5	published_lei	549300071188HIDJEB11	MEREN ENERGY INC	CA		
accept	African Rainbow Minerals	ZAF	0	published_lei	529900L3TPSCK8ZVZ589	AFRICAN RAINBOW MINERALS	ZA		
accept	Alcoa	USA	2	published_lei	549300T12EZ1F6PWWU29	ALCOA CORPORATION	US		
