start_key,end_key,type,ordinal
GB-COH-11398848,ce06e20f41072e18efc019a969c72f46,registered,0
GB-COH-03628497,ce06e20f41072e18efc019a969c72f46,registered,0
GB-COH-11485932,6b467521c58161bae60d7e09821f3049,registered,0
GB-COH-07848449,ce06e20f41072e18efc019a969c72f46,registered,0
GB-COH-02748866,ce06e20f41072e18efc019a969c72f46,registered,0
GB-COH-10573435,9bd01bcfa01ea3f89d8972959b3d95d8,registered,0
GB-COH-10573715,9bd01bcfa01ea3f89d8972959b3d95d8,registered,0
GB-COH-04560068,ce06e20f41072e18efc019a969c72f46,registered,0
GB-COH-04487223,9bd01bcfa01ea3f89d8972959b3d95d8,registered,0
GB-COH-06547400,32c6a47d0fe10327dd5161213829ae0e,registered,0
GB-COH-15671911,ad6b0dbff8df23db8ac6252048987498,registered,0
GB-COH-16039527,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-ENT-SC057974-PkaueqJ_nffwOKya-uOwFOQr9BQ,3f294a4bcfd1a2055320e4cb1f617b5e,alternative,0
GB-COH-11787488,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-11787495,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-16130095,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-16130094,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-14067214,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-14067273,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-00856444,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-12313114,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-12473113,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-11719194,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-06383221,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-03847957,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-16140733,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-01021007,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-02160234,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-15655085,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-00404347,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-11796185,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-00983913,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-01004984,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-08723444,9bd01bcfa01ea3f89d8972959b3d95d8,registered,0
GB-COH-08900469,9bd01bcfa01ea3f89d8972959b3d95d8,registered,0
GB-COH-03221603,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-08140815,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-11188145,50e77e56edb21af002e4ec700a14eb3b,registered,0
GB-COH-12000539,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-00895797,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-07974274,32c6a47d0fe10327dd5161213829ae0e,registered,0
GB-COH-01009905,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-05335923,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-15363762,079bd92e5ed7077a998a3c60fb9bb8c4,registered,0
GB-COH-05335927,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-00305943,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-12105028,9bd01bcfa01ea3f89d8972959b3d95d8,registered,0
GB-COH-00908982,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-13461160,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-03502262,c933b3fd86cd3ea43850911d788a74da,registered,0
GB-COH-09971526,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-11041000,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-00284323,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-10519279,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-04316931,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-04446121,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-08812651,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-10027204,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-09978028,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-07599899,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-07974282,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-01937364,ee2f31e7fbe8d3796b4dcdcd91d56073,registered,0
GB-COH-06383184,9bd01bcfa01ea3f89d8972959b3d95d8,registered,0
GB-COH-04833438,32c6a47d0fe10327dd5161213829ae0e,registered,0
GB-COH-09646587,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-SC135813,9797a2f1fafee06198ddf6a54bb31eb4,registered,0
GB-COH-00972944,86c99462e07395049e8c432b62c4956a,registered,0
GB-COH-13311592,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-ENT-05975475-2mGe9FZ-sRjQU0FY0UQem8qLiI4,b3dda61192a359512e04e98e2fe765fd,alternative,0
GB-COH-04075308,1e3d92cc84a0ea30ce289e86f64ac1e0,registered,0
GB-COH-00615393,b7472b46f6f3182fe7a95a3b667e6fdc,registered,0
GB-COH-07521628,b7472b46f6f3182fe7a95a3b667e6fdc,registered,0
GB-COH-13947643,b7472b46f6f3182fe7a95a3b667e6fdc,registered,0
GB-COH-13923476,b7472b46f6f3182fe7a95a3b667e6fdc,registered,0
GB-COH-07079220,698e398df8e5f0bcb5dc2e5d5f5dd2ed,registered,0
GB-COH-05971273,32c6a47d0fe10327dd5161213829ae0e,registered,0
XI-LEI-549300FJOXFUONBUSB24,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-549300FJOXFUONBUSB24,20a5436cd251c2cae55aa689c3c37868,business,1
XI-LEI-549300GL1JKOPE05D156,ba42db3473039d83beb2e106b9a30060,registered,0
XI-LEI-549300GL1JKOPE05D156,ba42db3473039d83beb2e106b9a30060,business,1
XI-LEI-254900E2H6UPESEYHK67,6d53e2e84a628b471d5cb74bc1b429aa,registered,0
XI-LEI-254900E2H6UPESEYHK67,ffdc66896966fa0cf909310975fa0ebd,business,1
XI-LEI-549300O4I4C09FVKBE77,43004f730feb1f3c6f18c5e4d8b6b907,registered,0
XI-LEI-549300O4I4C09FVKBE77,43004f730feb1f3c6f18c5e4d8b6b907,business,1
XI-LEI-549300S6ZINNW7Y1NP62,802309636b74509d97213539cbe6ec1c,registered,0
XI-LEI-549300S6ZINNW7Y1NP62,802309636b74509d97213539cbe6ec1c,business,1
XI-LEI-549300KT0ZQUIBAX8U21,93d291dd200718e326abb9f4214bb086,registered,0
XI-LEI-549300KT0ZQUIBAX8U21,f7c8e6f87a57f1a0eaab11d76aafe1e2,business,1
XI-LEI-335800DTEWI5HM8G1295,5933ba087bf5357299242bc7dc4eb5af,registered,0
XI-LEI-335800DTEWI5HM8G1295,5933ba087bf5357299242bc7dc4eb5af,business,1
XI-LEI-549300GFYQ2Z4MV18T39,811795015f31e6e0ad5be0ee864f43e7,registered,0
XI-LEI-549300GFYQ2Z4MV18T39,811795015f31e6e0ad5be0ee864f43e7,business,1
XI-LEI-335800KCNMKXQFPJ5Q28,bd24e49a001e2a9bb89460f78652970a,registered,0
