start_key,end_key,statementId,statementDate,recordId,recordType,recordStatus,declarationSubject,publicationDate,bodsVersion,publisherName,publisherUrl,publicationLicense,isComponent,sourceTypes,sourceUrl,interestIndex,bodsInterestType,family,directOrIndirect,beneficialOwnershipOrControl,startDate,details,detailsCategory,detailsValue,shareMinimum,shareMaximum,endDate
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800XWU7V7WDEQK620,bcbf89ae-5cc3-907d-f5b0-856fa384cd41,2024-09-07,XI-LEI-RR-U-213800XWU7V7WDEQK620-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800XWU7V7WDEQK620,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2015-05-05,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-549300KY6HKK0GECYX39,6716f3ea-05e0-fb33-a32c-06fd7e0209dd,2024-06-06,XI-LEI-RR-U-549300KY6HKK0GECYX39-W9NG6WMZIYEU8VEDOG48,relationship,new,XI-LEI-549300KY6HKK0GECYX39,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2020-04-20,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-549300FNQS5QUAPENQ15,XI-LEI-549300CFRPJRWHKXNB76,b4fe8b11-7548-5e2b-4a01-d6821009c9e8,2024-06-06,XI-LEI-RR-D-549300CFRPJRWHKXNB76-549300FNQS5QUAPENQ15,relationship,new,XI-LEI-549300CFRPJRWHKXNB76,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2020-10-22,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-549300CFRPJRWHKXNB76,1b7df385-1448-7d9d-03f6-2f0d5aab1de3,2024-06-06,XI-LEI-RR-U-549300CFRPJRWHKXNB76-W9NG6WMZIYEU8VEDOG48,relationship,new,XI-LEI-549300CFRPJRWHKXNB76,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2020-10-22,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-2138001I4N44QV4N1858,fdaeeded-19d4-623c-26b7-2c99378cbf79,2025-01-09,XI-LEI-RR-D-2138001I4N44QV4N1858-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-2138001I4N44QV4N1858,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-05,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-2138001I4N44QV4N1858,0a8862d1-76ad-3484-170b-92b13c7e404e,2025-01-09,XI-LEI-RR-U-2138001I4N44QV4N1858-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-2138001I4N44QV4N1858,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-05,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800BXZH7RWO84SI42,fb2ce867-9f40-b885-8a00-b2e4bc13216b,2025-01-09,XI-LEI-RR-D-213800BXZH7RWO84SI42-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800BXZH7RWO84SI42,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-20,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800BXZH7RWO84SI42,808d0c99-8419-73f1-b882-0d7c69b0e4a0,2025-01-09,XI-LEI-RR-U-213800BXZH7RWO84SI42-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800BXZH7RWO84SI42,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-20,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800FUUO6AEPNKR357,f9010f7a-bedf-1332-f9e5-b7d6519ca2b3,2025-01-09,XI-LEI-RR-D-213800FUUO6AEPNKR357-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800FUUO6AEPNKR357,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-20,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800FUUO6AEPNKR357,d036cf2e-9c3f-de34-18b8-c804cd383cb8,2025-01-09,XI-LEI-RR-U-213800FUUO6AEPNKR357-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800FUUO6AEPNKR357,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-20,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
