start_key,end_key,statementId,statementDate,recordId,recordType,recordStatus,declarationSubject,publicationDate,bodsVersion,publisherName,publisherUrl,publicationLicense,isComponent,sourceTypes,sourceUrl,interestIndex,bodsInterestType,family,directOrIndirect,beneficialOwnershipOrControl,shareMinimum,shareMaximum,startDate,endDate,details,detailsCategory,detailsValue
GB-COH-04118004,GB-COH-02246951,b01f9b54-6d71-7548-6cb1-dd21c4ebaa37,2016-04-06,GB-COH-REL-02246951-VAsnjNZqZmpqh1xaB-o_qTyyNFs,relationship,new,GB-COH-02246951,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2016-04-06,,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-04521116,GB-COH-00272225,033dac35-56eb-f428-2468-5bf2f80428fd,2016-04-06,GB-COH-REL-00272225-pQGiEZkhdwrNvdfM8bvwWMPEFj4,relationship,new,GB-COH-00272225,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2016-04-06,,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-01693108,GB-COH-03394992,dfee3705-9087-3a5a-69f2-6d9469d78472,2016-04-06,GB-COH-REL-03394992-JANysO1uo4Hpyk72LuY_L-FrQzc,relationship,new,GB-COH-03394992,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,50.0,75.0,2016-04-06,,"Relationship Type: ['ownership-of-shares-50-to-75-percent', 'voting-rights-50-to-75-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-50-to-75-percent', 'voting-rights-50-to-75-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-PER-12867899-QUpcDwR2E7e-LsjIacHvTVvsfrY,GB-COH-12867899,80518fdc-d76a-46b8-947c-cd50cdc7f427,2020-11-06,GB-COH-REL-12867899-QUpcDwR2E7e-LsjIacHvTVvsfrY,relationship,new,GB-COH-12867899,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,true,25.0,50.0,2020-11-06,,Relationship Type: ['ownership-of-shares-25-to-50-percent'],Relationship Type,['ownership-of-shares-25-to-50-percent']
GB-COH-05765286,GB-COH-00084121,715411ed-40b0-c6a8-2d2f-48c8a36f57cd,2016-04-06,GB-COH-REL-00084121-PeCpFOy2x487-Z5bC7cKD-DNDL0,relationship,new,GB-COH-00084121,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2016-04-06,,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-05765286,GB-COH-11573312,de572ca3-da1e-7d17-01c4-508eada10404,2020-10-17,GB-COH-REL-11573312-oYFbVRZwlqhBg8T-rw6ep2SAJa0,relationship,new,GB-COH-11573312,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2020-10-17,,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-01693108,GB-COH-12867899,871f7069-f4d2-0a6b-0792-048c2f206ca9,2020-09-09,GB-COH-REL-12867899-x_426f5QbfJIBMM7Bt4vGwdRH5Q,relationship,closed,GB-COH-12867899,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2020-09-09,2020-09-15,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-05830195,GB-COH-10872547,029d7401-a9eb-b119-2117-9dda6208c686,2022-01-17,GB-COH-REL-10872547-VUb-OLJd8hMJwxPXbrcucQUWeCE,relationship,new,GB-COH-10872547,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2022-01-17,,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-01693108,GB-COH-04118004,63aa8e60-631a-d161-d9e2-690643f6c0da,2022-04-20,GB-COH-REL-04118004-J5lCIFIq-G-ST4XdFBEo3PZTAsM,relationship,new,GB-COH-04118004,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2022-04-20,,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-01693108,GB-COH-15065208,af0222e0-ca44-8c39-947e-844be0f1ead3,2024-06-03,GB-COH-REL-15065208-Y1cJttQeeDv9kaqjZsjuDx-pZz4,relationship,new,GB-COH-15065208,2025-03-06,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,25.0,50.0,2024-06-03,,"Relationship Type: ['ownership-of-shares-25-to-50-percent', 'voting-rights-25-to-50-percent']",Relationship Type,"['ownership-of-shares-25-to-50-percent', 'voting-rights-25-to-50-percent']"
