start_key,end_key,ordinal,isPrimary
XI-LEI-213800NW1M8A9JCNYT42,XI-LEI|213800NW1M8A9JCNYT42,0,true
XI-LEI-213800NW1M8A9JCNYT42,GB-COH|NI618256,1,false
XI-LEI-5493003R5R3GH59BZM53,XI-LEI|5493003R5R3GH59BZM53,0,true
XI-LEI-5493003R5R3GH59BZM53,US-SAM|5715099,1,false
XI-LEI-549300412T1959YGZP28,XI-LEI|549300412T1959YGZP28,0,true
XI-LEI-549300412T1959YGZP28,US-SAM|7846943,1,false
XI-LEI-5493004N8936WVL23W35,XI-LEI|5493004N8936WVL23W35,0,true
XI-LEI-5493004N8936WVL23W35,US-SAM|7056681,1,false
XI-LEI-549300CFRPJRWHKXNB76,XI-LEI|549300CFRPJRWHKXNB76,0,true
XI-LEI-549300CFRPJRWHKXNB76,US-SAM|7699109,1,false
XI-LEI-549300GXQWY7TOWC7Y75,XI-LEI|549300GXQWY7TOWC7Y75,0,true
XI-LEI-549300GXQWY7TOWC7Y75,US-SAM|6609348,1,false
XI-LEI-213800VD287CR15QNH11,XI-LEI|213800VD287CR15QNH11,0,true
XI-LEI-213800VD287CR15QNH11,DK-CVR|40138099,1,false
GB-COH-04984787,GB-COH|04984787,0,true
GB-COH-15920551,GB-COH|15920551,0,true
GB-COH-00511097,GB-COH|00511097,0,true
GB-COH-11032246,GB-COH|11032246,0,true
GB-COH-11032205,GB-COH|11032205,0,true
GB-COH-11120527,GB-COH|11120527,0,true
GB-COH-07640868,GB-COH|07640868,0,true
GB-COH-11116433,GB-COH|11116433,0,true
XI-LEI-2138008KTNTDICZU8L25,XI-LEI|2138008KTNTDICZU8L25,0,true
XI-LEI-2138008KTNTDICZU8L25,GB-COH|01126618,1,false
XI-LEI-549300KBNGV4NYY3GE68,XI-LEI|549300KBNGV4NYY3GE68,0,true
XI-LEI-894500MDF6I8J93LO347,XI-LEI|894500MDF6I8J93LO347,0,true
XI-LEI-894500MDF6I8J93LO347,FR-RCS|632036752,1,false
XI-LEI-2763RIUHRUXVYE8VBI52,XI-LEI|2763RIUHRUXVYE8VBI52,0,true
XI-LEI-213800IJGJFB3GND1T26,XI-LEI|213800IJGJFB3GND1T26,0,true
GB-COH-01126618,GB-COH|01126618,0,true
XI-LEI-2138008RB4WDK7HYYS91,XI-LEI|2138008RB4WDK7HYYS91,0,true
XI-LEI-2138008RB4WDK7HYYS91,GB-COH|10336040,1,false
XI-LEI-213800MR49XK2JV4F829,XI-LEI|213800MR49XK2JV4F829,0,true
XI-LEI-213800MR49XK2JV4F829,GB-COH|00946107,1,false
GB-COH-06006643,GB-COH|06006643,0,true
GB-COH-09142569,GB-COH|09142569,0,true
GB-COH-03886399,GB-COH|03886399,0,true
GB-COH-SC338426,GB-COH|SC338426,0,true
GB-COH-SC219887,GB-COH|SC219887,0,true
GB-COH-07820781,GB-COH|07820781,0,true
GB-COH-14177056,GB-COH|14177056,0,true
GB-COH-05656364,GB-COH|05656364,0,true
GB-COH-07155949,GB-COH|07155949,0,true
GB-COH-06799825,GB-COH|06799825,0,true
GB-COH-04081901,GB-COH|04081901,0,true
GB-COH-06409675,GB-COH|06409675,0,true
GB-COH-04602885,GB-COH|04602885,0,true
GB-COH-14171811,GB-COH|14171811,0,true
GB-COH-10336040,GB-COH|10336040,0,true
GB-COH-14173716,GB-COH|14173716,0,true
GB-COH-03158124,GB-COH|03158124,0,true
GB-COH-02563623,GB-COH|02563623,0,true
GB-COH-15748728,GB-COH|15748728,0,true
GB-COH-02393309,GB-COH|02393309,0,true
GB-COH-07255980,GB-COH|07255980,0,true
GB-COH-07389613,GB-COH|07389613,0,true
GB-COH-09926796,GB-COH|09926796,0,true
GB-COH-02485860,GB-COH|02485860,0,true
XI-LEI-5586006ZEFQ542K7CY16,XI-LEI|5586006ZEFQ542K7CY16,0,true
XI-LEI-78900067TT5DRBFBDN88,XI-LEI|78900067TT5DRBFBDN88,0,true
XI-LEI-78900067TT5DRBFBDN88,TR-MERSIS|0843037043300016,1,false
XI-LEI-558600EF1LZ82YHRMV66,XI-LEI|558600EF1LZ82YHRMV66,0,true
XI-LEI-254900QAYP91G6IT9S19,XI-LEI|254900QAYP91G6IT9S19,0,true
XI-LEI-558600JIICYLBWQXML82,XI-LEI|558600JIICYLBWQXML82,0,true
XI-LEI-254900WTRWZEZCPDUX78,XI-LEI|254900WTRWZEZCPDUX78,0,true
XI-LEI-2549003H0S48GD7PM233,XI-LEI|2549003H0S48GD7PM233,0,true
XI-LEI-5586007HYS59B0NF2875,XI-LEI|5586007HYS59B0NF2875,0,true
XI-LEI-558600PYVWFWMUJOFH53,XI-LEI|558600PYVWFWMUJOFH53,0,true
XI-LEI-558600YVNWCJ1L7RA642,XI-LEI|558600YVNWCJ1L7RA642,0,true
XI-LEI-789000DWLOUQNDCW8W61,XI-LEI|789000DWLOUQNDCW8W61,0,true
XI-LEI-789000DWLOUQNDCW8W61,TR-MERSIS|0068006387095226,1,false
XI-LEI-635400BL7XGTQHK8HM19,XI-LEI|635400BL7XGTQHK8HM19,0,true
XI-LEI-5493005ECQRC5SLACT53,XI-LEI|5493005ECQRC5SLACT53,0,true
XI-LEI-5493005ECQRC5SLACT53,US-SAM|6782205,1,false
XI-LEI-25490082FQJTDUC7Y169,XI-LEI|25490082FQJTDUC7Y169,0,true
XI-LEI-213800AG2V6YE68H5N63,XI-LEI|213800AG2V6YE68H5N63,0,true
XI-LEI-213800AG2V6YE68H5N63,GB-COH|00031014,1,false
XI-LEI-558600JW2XPMLG97TV14,XI-LEI|558600JW2XPMLG97TV14,0,true
XI-LEI-558600QX2SVCL51BY860,XI-LEI|558600QX2SVCL51BY860,0,true
XI-LEI-7N7YKE66OZ27KON72O26,XI-LEI|7N7YKE66OZ27KON72O26,0,true
XI-LEI-7N7YKE66OZ27KON72O26,GB-COH|01223938,1,false
GB-COH-12419163,GB-COH|12419163,0,true
GB-COH-03281264,GB-COH|03281264,0,true
GB-COH-03305197,GB-COH|03305197,0,true
GB-COH-03299418,GB-COH|03299418,0,true
GB-COH-03305223,GB-COH|03305223,0,true
GB-COH-03305117,GB-COH|03305117,0,true
GB-COH-05982811,GB-COH|05982811,0,true
GB-COH-05981582,GB-COH|05981582,0,true
GB-COH-14525696,GB-COH|14525696,0,true
GB-COH-00031014,GB-COH|00031014,0,true
GB-COH-03304752,GB-COH|03304752,0,true
GB-COH-03305238,GB-COH|03305238,0,true
GB-COH-02529667,GB-COH|02529667,0,true
GB-COH-03305181,GB-COH|03305181,0,true
GB-COH-03305201,GB-COH|03305201,0,true
GB-COH-03305173,GB-COH|03305173,0,true
GB-COH-03281103,GB-COH|03281103,0,true
GB-COH-03281010,GB-COH|03281010,0,true
GB-COH-03305112,GB-COH|03305112,0,true
GB-COH-03305231,GB-COH|03305231,0,true
GB-COH-11205113,GB-COH|11205113,0,true
GB-COH-12415316,GB-COH|12415316,0,true
GB-COH-05042139,GB-COH|05042139,0,true
GB-COH-11128634,GB-COH|11128634,0,true
GB-COH-03383583,GB-COH|03383583,0,true
GB-COH-04273370,GB-COH|04273370,0,true
GB-COH-06861426,GB-COH|06861426,0,true
GB-COH-06254688,GB-COH|06254688,0,true
GB-COH-03796850,GB-COH|03796850,0,true
GB-COH-12388231,GB-COH|12388231,0,true
GB-COH-03280933,GB-COH|03280933,0,true
XI-LEI-213800DBE5Y9ZM58PN63,XI-LEI|213800DBE5Y9ZM58PN63,0,true
XI-LEI-213800DBE5Y9ZM58PN63,GB-COH|07068789,1,false
GB-COH-10498997,GB-COH|10498997,0,true
GB-COH-10787931,GB-COH|10787931,0,true
