record_id,subject_lei,source_id,name_raw,name_norm,jurisdiction,inc_date,address_norm,lei,nat_reg
d65d36fb-d07a-8606-4f25-99c2b2cde923,213800LH1BZH3DI6G760,,BP OIL INTERNATIONAL LIMITED,bp oil international limited,GB,1936-12-28,"chertsey road, sunbury on thames, london",549300YG7WG1HR9KGW98,JUR:GB:00322365
5183c75c-8b2e-e3b4-67fb-f0963ae20b25,213800LH1BZH3DI6G760,,BP PRODUCTS NORTH AMERICA INC.,bp products north america inc,US,1922-01-03,"c/o the corporation trust, incorporated, suite 201, lutherville timonium, maryland",549300YYMNSW7KWZH127,JUR:US:D00045773
1dcad769-aee1-7400-e110-9d61e99fcabc,213800LH1BZH3DI6G760,,BRITANNIC ENERGY TRADING LIMITED,britannic energy trading limited,GB,1978-07-14,"chertsey road, middlesex, london",549300ZDBUCTRBOPM023,JUR:GB:01378710
fd6d044a-2155-bae9-b697-6cb53cbc8575,213800LH1BZH3DI6G760,,B P AUSTRALIA PTY LTD,b p australia pty ltd,AU,1920-08-25,"level 17, docklands, melbourne, au-vic",549300ZNXYELB31FP503,JUR:AU:004 085 616
67bee6be-ab5a-9e95-965f-b0b4bbd058c8,213800LH1BZH3DI6G760,,BP EUROPA SE,bp europa se,DE,2010-04-30,"uberseeallee 1, hamburg, hamburg",549300ZPID4GQRDWI318,JUR:DE:HRB 113611
66b7f5cb-f871-94f9-0f53-d3c1dafec8a1,213800LH1BZH3DI6G760,,CHARGEMASTER LIMITED,chargemaster limited,GB,2008-10-09,"breckland, linford wood, milton keynes",25490009TXBCEMN3UI89,JUR:GB:06720009
48ee8127-c62b-56bd-f287-d0f58dfe34f2,213800LH1BZH3DI6G760,,BP EXPLORATION OPERATING COMPANY LIMITED,bp exploration operating company limited,GB,1935-10-12,"chertsey road, middlesex, sunbury-on-thames",54930066OLMECXUIIT95,JUR:GB:00305943
4ec0a809-5702-204e-c7e1-5ef20f2d1129,213800LH1BZH3DI6G760,,BP CANADA ENERGY MARKETING CORP.,bp canada energy marketing corp,US,1990-02-14,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",5493006US8Z88WK9IL47,JUR:US:2222036
b4195038-470c-71a7-1ba3-a68fb1c5ab5b,213800LH1BZH3DI6G760,,BP EXPLORATION (CASPIAN SEA) LIMITED,bp exploration caspian sea limited,GB,1946-02-11,"chertsey road, middlesex, london",5493008GLWHKEO68CL13,JUR:GB:00404347
5de80f61-e34a-31ce-4a13-d8e50cda8288,213800LH1BZH3DI6G760,,BP CANADA ENERGY GROUP ULC,bp canada energy group ulc,CA,2013-01-01,"600-1741 lower water street, halifax, nova scotia",5493008ZYIONF7JPJL24,JUR:CA:3268803
c2e1ca5e-f391-391f-d801-0ef848004a2e,213800LH1BZH3DI6G760,,"ARCHE ENERGY PROJECT, LLC",arche energy project llc,US,2019-02-12,"c/o c t corporation system, suite 900, dallas, texas",254900SRY9AX0V405Q73,JUR:US:0803235499
91a53bdd-dea3-23a5-06c0-dbd76d34e2e2,213800LH1BZH3DI6G760,,BP Australia Investments Pty Ltd,bp australia investments pty ltd,AU,,"level 17,717 bourke street,docklands, melbourne, au-vic",549300HJ840SLKBDOS06,JUR:AU:102 991 551
0ace689e-d1d0-1860-64e5-08145a3247fd,213800LH1BZH3DI6G760,,"TELESTO ENERGY PROJECT, LLC",telesto energy project llc,US,2019-07-25,"c/o c t corporation system, suite 900, dallas, texas",254900P4JT9YH6JH0I36,JUR:US:0803377526
6537aabb-c271-ddc8-61b6-b9d965bb27bb,213800LH1BZH3DI6G760,,BP CARBON TRADING LIMITED,bp carbon trading limited,GB,2017-07-14,"chertsey road, sunbury on thames, middlesex",5493000BRX9RNZNUOV28,JUR:GB:10867355
542ca7af-b8f7-ed5a-0401-abc7e7a93936,213800LH1BZH3DI6G760,,BP WEST COAST PRODUCTS LLC,bp west coast products llc,US,,"c/o the corporation trust company, corporation trust center 1209 orange st, wilmington, delaware",549300MZ0FTF0W5N3I14,JUR:US:3439552
3e90f2c2-5110-78b1-ab06-499d2dbdd70d,213800LH1BZH3DI6G760,,LUBRICANTS UK LIMITED,lubricants uk limited,GB,1908-03-13,"chertsey road, middlesex, sunbury-on-thames",549300IW34FEHHXMF980,JUR:GB:00097216
af2a6e63-9612-6e46-282f-e1cf236d6613,213800LH1BZH3DI6G760,,BP ENERGY COMPANY,bp energy company,US,1985-11-26,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",549300MG5Q5VOTHPK831,JUR:US:2076758
3519b3b3-019e-843c-94c1-de81e0ba025c,213800LH1BZH3DI6G760,,"WHITING CLEAN ENERGY, INC.",whiting clean energy inc,US,1998-11-12,"c/o c t corporation system, 334 north senate avenue, indianapolis, indiana",54930021X63HYEU9MP82,JUR:US:1998110694
e6955ff0-d5ba-2e95-b3e1-8c6613ef857f,213800LH1BZH3DI6G760,,BP EXPLORATION (ALPHA) LIMITED,bp exploration alpha limited,GB,2007-04-26,"office no 71 & 73, 7th floor, bandra (east), mumbai",549300H667FIK5PZPV54,
5bdad9d4-9fb8-96f5-c3a6-093b7c9266e1,213800LH1BZH3DI6G760,,BP COMPANY NORTH AMERICA INC.,bp company north america inc,US,,"c/o the corporation trust company, corporation trust center 1209 orange st, wilmington, delaware",549300I2A60VQH7OB113,JUR:US:2053223
15e07e06-ff5a-a203-d5f6-8b160cbb0e2f,213800LH1BZH3DI6G760,,"THALASSA ENERGY PROJECT, LLC",thalassa energy project llc,US,2019-02-12,"c/o c t corporation system, suite 900, dallas, texas",25490089CK3WJ7YXI372,JUR:US:0803235415
de790da8-c929-4af0-8319-3be5a4716f5e,213800LH1BZH3DI6G760,,BP RAFFINADERIJ ROTTERDAM B.V.,bp raffinaderij rotterdam b v,NL,1989-10-25,"d'arcyweg 76, europoort, rotterdam, zuid-holland",549300KRU5NMN907SV73,JUR:NL:24178415
cefa2eb8-c173-6099-cab0-f1b20b9e98e3,213800LH1BZH3DI6G760,,BP CAPITAL MARKETS AMERICA INC.,bp capital markets america inc,US,2002-02-14,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",5493009NTB34VXE1T760,JUR:US:3491966
26c0cc89-906c-f713-38d5-7e1514aa7298,213800LH1BZH3DI6G760,,BP P.L.C.,bp p l c,GB,1909-04-14,"1 st james's square, london, gb-lnd",213800LH1BZH3DI6G760,JUR:GB:00102498
22525af8-ff63-c415-62b4-b32ead2785d5,213800LH1BZH3DI6G760,,BP ENERGY SOLUTIONS SOCIEDAD DE VALORES SA,bp energy solutions sociedad de valores sa,ES,2021-06-03,"calle quintanaduenas 6, edificio arqborea, madrid",5493003MXD0BNIYC0G95,JUR:ES:A-0684693-5
263d2353-ca7b-e403-6a5d-a7c9e8957483,213800LH1BZH3DI6G760,,Air BP Iceland ehf.,air bp iceland ehf,IS,2017-02-25,"skogarhlid 12, reykjavik, is-1",5493004W2NT861NJ6M56,JUR:IS:6803170460
4d5758fd-583e-6fac-282d-d8890138cf1b,213800LH1BZH3DI6G760,,ARCHAEA ENERGY MARKETING LLC,archaea energy marketing llc,US,2021-11-09,"c/o corporation service company, 251 little falls drive, wilmington, delaware",549300XGTG5OWOTI9S89,JUR:US:6378513
cb4ff03e-df58-e555-ac56-901968e3ce3d,213800LH1BZH3DI6G760,,BP CORPORATION NORTH AMERICA INC.,bp corporation north america inc,US,1889-06-17,"c/o ct corporation system, 334 north senate avenue, indianapolis, indiana",549300GMUCJ08527GQ81,JUR:US:182869-107
2245c4f6-8c97-8e2e-2349-b2d8aae9a6ea,213800LH1BZH3DI6G760,,BP ENERGY SOLUTIONS B.V.,bp energy solutions b v,NL,2018-08-22,"d'arcyweg 76, europoort, rotterdam, zuid-holland",549300GSGBIF7NMOUH71,JUR:NL:72404922
33de0e27-4948-8962-b9e5-7ca5b1f72523,213800LH1BZH3DI6G760,,BP GAS & POWER IBERIA SA,bp gas power iberia sa,ES,1999-09-01,"calle quintanaduenas 6, edificio arqborea, madrid",549300IZ83QL6OSB2R21,JUR:ES:A-8242203-1
7fed0dbe-f9c0-5e2c-dbc9-d4359150c60f,213800LH1BZH3DI6G760,,BP SOUTHERN AFRICA,bp southern africa,ZA,1924-05-09,"199 oxford street, dunkeld, johannesburg, gauteng",549300JCMJLJPHUIZ827,JUR:ZA:M1924002602
d6141c28-58ef-de8a-898b-34640fa05241,213800LH1BZH3DI6G760,,BP FRANCE,bp france,FR,1923-01-01,"3, 10 av de l'entreprise campus, cergy, paris",549300IRCCFFAE30FT55,JUR:FR:542 034 327
3299a5b0-3f60-177e-fc14-6ee133a9e2ab,213800LH1BZH3DI6G760,,"ARCO BRITISH LIMITED, LLC",arco british limited llc,US,1965-05-14,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",5493002S2FI7YB0RL442,JUR:US:625509
eb485227-57b8-c635-9c5e-2810bfea125b,213800LH1BZH3DI6G760,,BP EUROPA SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE,bp europa se społka europejska oddział w polsce,PL,,"jasnogórska 1, cracow, małopolskie",549300ELU6WABMM0EL36,JUR:PL:0000345546
2967ecf9-7388-582b-1316-af4a4d001226,213800LH1BZH3DI6G760,,BP PORTUGAL - COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES SA,bp portugal comercio de combustiveis e lubrificantes sa,PT,2014-05-06,"edificio 3, oeiras, lisbon, lisboa",549300RU6UYW1UMYOP92,JUR:PT:500194670
04e76c7e-22cb-6a73-c6e9-3685da1dcdae,213800LH1BZH3DI6G760,,ARCHAEA ENERGY INC.,archaea energy inc,US,2020-09-01,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",549300ZBE567NNMH7V89,JUR:US:3575984
50730fa2-7b58-f568-6887-f931e4a3f680,213800LH1BZH3DI6G760,,BP FINANCE AUSTRALIA PTY LTD,bp finance australia pty ltd,AU,,"level 17,717 bourke street,docklands, melbourne, au-vic",549300LN3X0K77Z2SO79,JUR:AU:008 422 071
2ef1527c-27fa-a0e8-2895-a5c8f44632bf,213800LH1BZH3DI6G760,,BP TECHNOLOGY VENTURES LIMITED,bp technology ventures limited,GB,1981-03-27,"chertsey road, middlesex, sunbury on thames",5493000JNUNFTCW6WF85,JUR:GB:01553681
ffbe835c-01ff-3b5b-3db9-f5b8834fa944,213800LH1BZH3DI6G760,,BP AMERICA PRODUCTION COMPANY,bp america production company,US,1930-12-12,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",549300B8RMOTK5QZWT61,JUR:US:292522
64bb7983-70eb-3441-8a8a-3d7f701e2b69,213800LH1BZH3DI6G760,,BRITOIL LIMITED,britoil limited,GB,1982-03-04,"1 wellheads avenue, dyce, aberdeen",549300DTMH2NWOI8O090,JUR:GB:SC077750
da87886b-4192-b561-22c8-9a19d127df4a,213800LH1BZH3DI6G760,,BP ENERGY HOLDING COMPANY LLC,bp energy holding company llc,US,2020-07-28,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",5493005ONGPJXD71UU22,JUR:US:3329670
944d6e7b-325f-f02d-94d9-8f5adc7a0036,213800LH1BZH3DI6G760,,BP CHEMICALS LIMITED,bp chemicals limited,GB,1924-01-09,"chertsey road, middlesex, london",5493000FX3G8YEXMXM78,JUR:GB:00194971
6dae9476-22d6-58bf-15ae-2e08ce793176,213800LH1BZH3DI6G760,,BP Pension Trustees Limited,bp pension trustees limited,GB,1928-05-25,"chertsey road, sunbury on thames",254900JJ39DUX0CTFU84,JUR:GB:00230748
3daad2c5-d59a-c61e-c567-b0de03744112,213800LH1BZH3DI6G760,,BRITANNIC STRATEGIES LIMITED,britannic strategies limited,GB,1990-02-21,"1 wellheads avenue, dyce, aberdeen",549300BHBLZT38LP0T75,JUR:GB:SC123106
daf039eb-0ee9-16e1-3993-3d82f0dbee68,213800LH1BZH3DI6G760,,BP MARINE LIMITED,bp marine limited,GB,1975-05-29,"chertsey road, sunbury on thames middlesex, london",549300CBTY31RKLLW578,JUR:GB:01214291
1c4cb3a1-7e6e-d9d8-4c0b-d72e1060a50f,213800LH1BZH3DI6G760,,AZULE ENERGY EXPLORATION (ANGOLA) LIMITED,azule energy exploration angola limited,GB,1958-11-24,"125 old broad street, london",549300CC4BI5U2VDJV83,JUR:GB:00615393
c1c908d8-a94a-f040-4306-758c35d0568f,213800LH1BZH3DI6G760,,BP ENERGY AUSTRALIA PTY LTD,bp energy australia pty ltd,AU,2021-09-15,"level 17, docklands, melbourne, au-vic",549300CMZNMGCZJWCG08,JUR:AU:653 709 810
4aad28a0-f41e-c891-7af5-32c760c448e3,213800LH1BZH3DI6G760,,BP CAPITAL MARKETS P.L.C.,bp capital markets p l c,GB,1976-12-14,"chertsey road, sunbury on thames, london",549300CRVT18MXX0AG93,JUR:GB:01290444
31693130-d108-daa6-60e0-c9609b27782c,213800LH1BZH3DI6G760,,BP EASTERN MEDITERRANEAN LIMITED,bp eastern mediterranean limited,GB,1988-04-04,"chertsey road, middlesex, london",549300CW7XPU9N2S3034,JUR:GB:02239062
01865292-80cb-a68f-6fa4-89cb0e64648f,213800LH1BZH3DI6G760,,BP EXPLORATION (AZERBAIJAN) LIMITED,bp exploration azerbaijan limited,GB,1987-09-02,"chertsey road, sunbury on thames, london",549300E0XYHGX3YQ0M28,JUR:GB:02160234
df35ca10-b49b-c764-4848-3a99458f0ea0,213800LH1BZH3DI6G760,,BP EXPLORATION & PRODUCTION INC.,bp exploration production inc,US,1996-06-10,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",549300EIY4CEHS3VR850,JUR:US:2625238
2f81a8d7-bf0a-7423-903c-ec5094f5a8c0,213800LH1BZH3DI6G760,,BP ALTERNATIVE ENERGY INVESTMENTS LIMITED,bp alternative energy investments limited,GB,2006-11-14,"chertsey road, middlesex, sunbury on thames",549300FCC78N6YBKPP79,JUR:GB:05998019
f8ef0896-8324-a41d-a0a1-64782a119450,213800LH1BZH3DI6G760,,AIR BP SALES ROMANIA SRL,air bp sales romania srl,RO,1997-03-20,"59 aurel vlaicu street, otopeni, ilfov",549300SIG9E2EYEYJD24,
d74eae63-be46-5616-7684-93381ed4ad44,213800LH1BZH3DI6G760,,BP ITALIA S.P.A.,bp italia s p a,IT,1962-09-19,"via gaetano de castillia 23, milano, milano",549300TDJC5X1HQFVS97,JUR:IT:01144480587
ec6c7a8b-e0cf-6117-6e5d-6aa0f2f67534,213800LH1BZH3DI6G760,,BP ENERGY ASIA PTE. LIMITED,bp energy asia pte limited,SG,2005-08-02,"7 straits view, marina one east tower, singapore",549300U1FMIS4ZCKGM81,JUR:SG:200510582K
d6b14444-f2e5-f2fc-dd7f-532620965976,213800LH1BZH3DI6G760,,AIR BP LIMITED,air bp limited,GB,1973-12-11,"chertsey road, middlesex, london",549300VA66S81U2FG151,JUR:GB:01150609
fca2926c-f317-66cb-2b64-6a5056a12270,213800LH1BZH3DI6G760,,BP EXPLORATION (ALPHA) LIMITED,bp exploration alpha limited,GB,1971-08-16,"chertsey road, sunbury on thames, london",549300WG1KHXYZK4FN31,JUR:GB:01021007
d198f8ca-887b-5e7f-196f-fa9321c7201e,213800LH1BZH3DI6G760,,BP INTERNATIONAL LIMITED,bp international limited,GB,1954-12-29,"chertsey road, middlesex, london",G1KG0OQD10NOMCMLDZ35,JUR:GB:00542515
84306bd1-3c1c-393a-2a15-113999363b40,213800LH1BZH3DI6G760,,The Standard Oil Company,the standard oil company,US,1870-01-09,"c/o ct corporation system, suite 125, columbus, ohio",254900BCHAHIH6LIMH46,JUR:US:3675
9d21d4c7-192c-ce95-842e-6dd8924f8a92,213800LH1BZH3DI6G760,,"Jones City Solar II, LLC",jones city solar ii llc,US,2019-05-30,"c/o corporation service company, 251 little falls drive, wilmington, delaware",254900HJ9HXOBA1QQV90,JUR:US:7444065
a42a435b-8081-cab6-b882-d184cf96d788,213800LH1BZH3DI6G760,,"Juliet Energy Project, LLC",juliet energy project llc,US,2019-02-12,"c/o corporation service company dba csc - lawyers inco, suite 620, austin, texas",254900ZNKJZYGD4G1S03,JUR:US:0803235501
90887d07-502a-782d-8ac0-2ae6824e8c01,213800LH1BZH3DI6G760,,BP Capital Markets B.V.,bp capital markets b v,NL,2020-08-07,"chertsey road, sunbury-on-thames, middlesex",7245003VD7E4T30HJD24,JUR:NL:80003354
opencheck-bb1e42cb480d7752a8a6a5c7,213800LH1BZH3DI6G760,OpenCorporates,BP P.L.C.,bp p l c,GB,1909-04-14,,,JUR:GB:00102498
872b4a5d-ecd5-accb-26c2-a7547b9a4661,213800LH1BZH3DI6G760,,INEOS ACETYLS (KOREA) LIMITED,ineos acetyls korea limited,GB,1988-11-11,"hawkslease, chapel lane, lyndhurst, hampshire",,JUR:GB:02316280
